filename,end,fault,diameter_mil,load,or_clock,file_id,var_de,var_fe,n_de,n_fe,in_set_101,in_set_109
12k_Drive_End_IR007_3_108.mat,Drive,IR,7.0,3,,108,X108_DE_time,X108_FE_time,122917,122917,True,True
12k_Drive_End_IR014_0_169.mat,Drive,IR,14.0,0,,169,X169_DE_time,X169_FE_time,121846,121846,True,True
12k_Drive_End_IR014_1_170.mat,Drive,IR,14.0,1,,170,X170_DE_time,X170_FE_time,121846,121846,True,True
12k_Drive_End_IR014_2_171.mat,Drive,IR,14.0,2,,171,X171_DE_time,X171_FE_time,121846,121846,True,True
12k_Drive_End_IR014_3_172.mat,Drive,IR,14.0,3,,172,X172_DE_time,X172_FE_time,121701,121701,True,True
12k_Drive_End_IR021_0_209.mat,Drive,IR,21.0,0,,209,X209_DE_time,X209_FE_time,122136,122136,True,True
12k_Drive_End_IR021_1_210.mat,Drive,IR,21.0,1,,210,X210_DE_time,X210_FE_time,121556,121556,True,True
12k_Drive_End_IR021_2_211.mat,Drive,IR,21.0,2,,211,X211_DE_time,X211_FE_time,121846,121846,True,True
12k_Drive_End_IR021_3_212.mat,Drive,IR,21.0,3,,212,X212_DE_time,X212_FE_time,121991,121991,True,True
12k_Drive_End_IR028_0_3001.mat,Drive,IR,28.0,0,,3001,X056_DE_time,,120801,0,False,True
12k_Drive_End_IR028_1_3002.mat,Drive,IR,28.0,1,,3002,X057_DE_time,,121351,0,False,True
12k_Drive_End_IR028_2_3003.mat,Drive,IR,28.0,2,,3003,X058_DE_time,,121351,0,False,True
12k_Drive_End_IR028_3_3004.mat,Drive,IR,28.0,3,,3004,X059_DE_time,,121535,0,False,True
12k_Drive_End_OR007@12_0_156.mat,Drive,OR,7.0,0,12,156,X156_DE_time,X156_FE_time,122281,122281,True,True
12k_Drive_End_OR007@12_1_158.mat,Drive,OR,7.0,1,12,158,X158_DE_time,X158_FE_time,121991,121991,True,True
12k_Drive_End_OR007@12_2_159.mat,Drive,OR,7.0,2,12,159,X159_DE_time,X159_FE_time,122281,122281,True,True
12k_Drive_End_OR007@12_3_160.mat,Drive,OR,7.0,3,12,160,X160_DE_time,X160_FE_time,122136,122136,True,True
12k_Drive_End_OR007@3_0_144.mat,Drive,OR,7.0,0,3,144,X144_DE_time,X144_FE_time,122281,122281,True,True
12k_Drive_End_OR007@3_1_145.mat,Drive,OR,7.0,1,3,145,X145_DE_time,X145_FE_time,121846,121846,True,True
12k_Drive_End_OR007@3_2_146.mat,Drive,OR,7.0,2,3,146,X146_DE_time,X146_FE_time,121556,121556,True,True
12k_Drive_End_OR007@3_3_147.mat,Drive,OR,7.0,3,3,147,X147_DE_time,X147_FE_time,122281,122281,True,True
12k_Drive_End_OR007@6_0_130.mat,Drive,OR,7.0,0,6,130,X130_DE_time,X130_FE_time,121991,121991,True,True
12k_Drive_End_OR007@6_1_131.mat,Drive,OR,7.0,1,6,131,X131_DE_time,X131_FE_time,122426,122426,True,True
12k_Drive_End_OR007@6_2_132.mat,Drive,OR,7.0,2,6,132,X132_DE_time,X132_FE_time,121410,121410,True,True
12k_Drive_End_OR007@6_3_133.mat,Drive,OR,7.0,3,6,133,X133_DE_time,X133_FE_time,122571,122571,True,True
12k_Drive_End_OR014@6_0_197.mat,Drive,OR,14.0,0,6,197,X197_DE_time,X197_FE_time,121846,121846,True,True
12k_Drive_End_OR014@6_1_198.mat,Drive,OR,14.0,1,6,198,X198_DE_time,X198_FE_time,122136,122136,True,True
12k_Drive_End_OR014@6_2_199.mat,Drive,OR,14.0,2,6,199,X199_DE_time,X199_FE_time,121846,121846,True,True
12k_Drive_End_OR014@6_3_200.mat,Drive,OR,14.0,3,6,200,X200_DE_time,X200_FE_time,121991,121991,True,True
12k_Drive_End_OR021@12_0_258.mat,Drive,OR,21.0,0,12,258,X258_DE_time,X258_FE_time,121846,121846,True,True
12k_Drive_End_OR021@12_1_259.mat,Drive,OR,21.0,1,12,259,X259_DE_time,X259_FE_time,122426,122426,True,True
12k_Drive_End_OR021@12_2_260.mat,Drive,OR,21.0,2,12,260,X260_DE_time,X260_FE_time,122716,122716,True,True
12k_Drive_End_OR021@12_3_261.mat,Drive,OR,21.0,3,12,261,X261_DE_time,X261_FE_time,121701,121701,True,True
12k_Drive_End_OR021@3_0_246.mat,Drive,OR,21.0,0,3,246,X246_DE_time,X246_FE_time,121701,121701,True,True
12k_Drive_End_OR021@3_1_247.mat,Drive,OR,21.0,1,3,247,X247_DE_time,X247_FE_time,121991,121991,True,True
12k_Drive_End_OR021@3_2_248.mat,Drive,OR,21.0,2,3,248,X248_DE_time,X248_FE_time,122281,122281,True,True
12k_Drive_End_OR021@3_3_249.mat,Drive,OR,21.0,3,3,249,X249_DE_time,X249_FE_time,122136,122136,True,True
12k_Drive_End_OR021@6_0_234.mat,Drive,OR,21.0,0,6,234,X234_DE_time,X234_FE_time,122426,122426,True,True
12k_Drive_End_OR021@6_1_235.mat,Drive,OR,21.0,1,6,235,X235_DE_time,X235_FE_time,121991,121991,True,True
12k_Drive_End_OR021@6_2_236.mat,Drive,OR,21.0,2,6,236,X236_DE_time,X236_FE_time,122281,122281,True,True
12k_Drive_End_OR021@6_3_237.mat,Drive,OR,21.0,3,6,237,X237_DE_time,X237_FE_time,121991,121991,True,True
12k_Fan_End_B007_0_282.mat,Fan,B,7.0,0,,282,X282_DE_time,X282_FE_time,121168,121168,True,True
12k_Fan_End_B007_1_283.mat,Fan,B,7.0,1,,283,X283_DE_time,X283_FE_time,120801,120801,True,True
12k_Fan_End_B007_2_284.mat,Fan,B,7.0,2,,284,X284_DE_time,X284_FE_time,121719,121719,True,True
12k_Fan_End_B007_3_285.mat,Fan,B,7.0,3,,285,X285_DE_time,X285_FE_time,121168,121168,True,True
12k_Fan_End_B014_0_286.mat,Fan,B,14.0,0,,286,X286_DE_time,X286_FE_time,122086,122086,True,True
12k_Fan_End_B014_1_287.mat,Fan,B,14.0,1,,287,X287_DE_time,X287_FE_time,121719,121719,True,True
12k_Fan_End_B014_2_288.mat,Fan,B,14.0,2,,288,X288_DE_time,X288_FE_time,122269,122269,True,True
12k_Fan_End_B014_3_289.mat,Fan,B,14.0,3,,289,X289_DE_time,X289_FE_time,121168,121168,True,True
12k_Fan_End_B021_0_290.mat,Fan,B,21.0,0,,290,X290_DE_time,X290_FE_time,121351,121351,True,True
12k_Fan_End_B021_1_291.mat,Fan,B,21.0,1,,291,X291_DE_time,X291_FE_time,121351,121351,True,True
12k_Fan_End_B021_2_292.mat,Fan,B,21.0,2,,292,X292_DE_time,X292_FE_time,121535,121535,True,True
12k_Fan_End_B021_3_293.mat,Fan,B,21.0,3,,293,X293_DE_time,X293_FE_time,120801,120801,True,True
12k_Fan_End_IR007_0_278.mat,Fan,IR,7.0,0,,278,X278_DE_time,X278_FE_time,121535,121535,True,True
12k_Fan_End_IR007_1_279.mat,Fan,IR,7.0,1,,279,X279_DE_time,X279_FE_time,121351,121351,True,True
12k_Fan_End_IR007_2_280.mat,Fan,IR,7.0,2,,280,X280_DE_time,X280_FE_time,121351,121351,True,True
12k_Fan_End_IR007_3_281.mat,Fan,IR,7.0,3,,281,X281_DE_time,X281_FE_time,121535,121535,True,True
12k_Fan_End_IR014_0_274.mat,Fan,IR,14.0,0,,274,X274_DE_time,X274_FE_time,121351,121351,True,True
12k_Fan_End_IR014_1_276.mat,Fan,IR,14.0,1,,276,X275_DE_time,X275_FE_time,121351,121351,True,True
12k_Fan_End_IR014_2_276.mat,Fan,IR,14.0,2,,276,X276_DE_time,X276_FE_time,121351,121351,True,True
12k_Fan_End_IR014_3_277.mat,Fan,IR,14.0,3,,277,X277_DE_time,X277_FE_time,121168,121168,True,True
12k_Fan_End_IR021_0_270.mat,Fan,IR,21.0,0,,270,X270_DE_time,X270_FE_time,121168,121168,True,True
12k_Fan_End_IR021_1_271.mat,Fan,IR,21.0,1,,271,X271_DE_time,X271_FE_time,121168,121168,True,True
12k_Fan_End_IR021_2_272.mat,Fan,IR,21.0,2,,272,X272_DE_time,X272_FE_time,120984,120984,True,True
12k_Fan_End_IR021_3_273.mat,Fan,IR,21.0,3,,273,X273_DE_time,X273_FE_time,121168,121168,True,True
12k_Fan_End_OR007@12_0_302.mat,Fan,OR,7.0,0,12,302,X302_DE_time,X302_FE_time,121168,121168,True,True
12k_Fan_End_OR007@12_1_305.mat,Fan,OR,7.0,1,12,305,X305_DE_time,X305_FE_time,120984,120984,True,True
12k_Fan_End_OR007@12_2_306.mat,Fan,OR,7.0,2,12,306,X306_DE_time,X306_FE_time,121719,121719,True,True
12k_Fan_End_OR007@12_3_307.mat,Fan,OR,7.0,3,12,307,X307_DE_time,X307_FE_time,121168,121168,True,True
12k_Fan_End_OR007@3_0_298.mat,Fan,OR,7.0,0,3,298,X298_DE_time,X298_FE_time,120984,120984,True,True
12k_Fan_End_OR007@3_1_299.mat,Fan,OR,7.0,1,3,299,X299_DE_time,X299_FE_time,121168,121168,True,True
12k_Fan_End_OR007@3_2_300.mat,Fan,OR,7.0,2,3,300,X300_DE_time,X300_FE_time,121902,121902,True,True
12k_Fan_End_OR007@3_3_301.mat,Fan,OR,7.0,3,3,301,X301_DE_time,X301_FE_time,121719,121719,True,True
12k_Fan_End_OR007@6_0_294.mat,Fan,OR,7.0,0,6,294,X294_DE_time,X294_FE_time,121168,121168,True,True
12k_Fan_End_OR007@6_1_295.mat,Fan,OR,7.0,1,6,295,X295_DE_time,X295_FE_time,121535,121535,True,True
12k_Fan_End_OR007@6_2_296.mat,Fan,OR,7.0,2,6,296,X296_DE_time,X296_FE_time,121168,121168,True,True
12k_Fan_End_OR007@6_3_297.mat,Fan,OR,7.0,3,6,297,X297_DE_time,X297_FE_time,121902,121902,True,True
12k_Fan_End_OR014@3_0_310.mat,Fan,OR,14.0,0,3,310,X310_DE_time,X310_FE_time,121535,121535,True,True
12k_Fan_End_OR014@3_1_309.mat,Fan,OR,14.0,1,3,309,X309_DE_time,X309_FE_time,121168,121168,True,True
12k_Fan_End_OR014@3_2_311.mat,Fan,OR,14.0,2,3,311,X311_DE_time,X311_FE_time,120984,120984,True,True
12k_Fan_End_OR014@3_3_312.mat,Fan,OR,14.0,3,3,312,X312_DE_time,X312_FE_time,120984,120984,True,True
12k_Fan_End_OR014@6_0_313.mat,Fan,OR,14.0,0,6,313,X313_DE_time,X313_FE_time,120984,120984,True,True
12k_Fan_End_OR021@3_1_316.mat,Fan,OR,21.0,1,3,316,X316_DE_time,X316_FE_time,120617,120617,True,True
12k_Fan_End_OR021@3_2_317.mat,Fan,OR,21.0,2,3,317,X317_DE_time,X317_FE_time,120617,120617,True,True
12k_Fan_End_OR021@3_3_318.mat,Fan,OR,21.0,3,3,318,X318_DE_time,X318_FE_time,121351,121351,True,True
12k_Fan_End_OR021@6_0_315.mat,Fan,OR,21.0,0,6,315,X315_DE_time,X315_FE_time,120617,120617,True,True
normal_0_97.mat,Normal,Normal,0.0,0,,97,X097_DE_time,X097_FE_time,243938,243938,True,True
normal_1_98.mat,Normal,Normal,0.0,1,,98,X098_DE_time,X098_FE_time,483903,483903,True,True
normal_2_99.mat,Normal,Normal,0.0,2,,99,X099_DE_time,X099_FE_time,485063,485063,True,True
normal_3_100.mat,Normal,Normal,0.0,3,,100,X100_DE_time,X100_FE_time,485643,485643,True,True
